Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,21.5,-38.5,53.5,3.809314224539472,336
2,19.5,-38.5,-30.5,3.6072297695150968,744
2a,15.5,-28.5,-34.5,2.3552699400009587,
3,7.5,-50.5,-26.5,3.418683327372965,400
4,29.5,-22.5,31.5,3.1033229556958535,376
5,19.5,-10.5,49.5,2.921156804151088,440
6,7.5,-4.5,-4.5,2.8875560164819083,1544
6a,-0.5,-26.5,3.5,2.824374809983733,
6b,3.5,-16.5,1.5,2.535313179541449,
6c,7.5,-10.5,-2.5,2.4402236882602844,
7,7.5,-20.5,-44.5,2.872347537202696,88
8,47.5,-6.5,-0.5,2.7137313539401555,96
9,-6.5,-46.5,-50.5,2.7005196467395107,472
10,-0.5,-24.5,-38.5,2.6989425064211945,168
11,-10.5,-56.5,-28.5,2.694068174373445,696
11a,-10.5,-40.5,-26.5,2.436115289352788,
12,-16.5,35.5,21.5,2.602766320297296,176
13,-34.5,11.5,-14.5,2.5948132749787165,168
14,-8.5,79.5,7.5,2.5601523482075152,120
15,5.5,-36.5,-34.5,2.538300914366584,104
16,-6.5,37.5,17.5,2.4469765889449864,88
17,-18.5,-14.5,47.5,2.3978051802486533,112
18,-38.5,-8.5,27.5,2.379733380107044,104
19,25.5,41.5,15.5,2.274990676243584,88
20,-16.5,-14.5,5.5,2.211177866356956,80
21,-22.5,-50.5,-48.5,2.1699127564286824,88
27,23.5,-14.5,-18.5,-3.8893474230294824,13352
27a,41.5,23.5,-30.5,-3.5929379455022437,
27b,27.5,-30.5,-22.5,-3.5757867591568893,
27c,39.5,23.5,-38.5,-3.2266077873044625,
28,-14.5,-54.5,27.5,-3.887147774568405,4824
28a,-4.5,-56.5,29.5,-3.096292727713057,
28b,7.5,-62.5,29.5,-3.0023671339740687,
28c,7.5,-48.5,23.5,-2.9334693881128815,
29,-14.5,53.5,41.5,-3.7975557171056398,16752
29a,-10.5,69.5,9.5,-3.5453493635406548,
29b,5.5,67.5,-0.5,-3.43108900719687,
29c,-14.5,41.5,51.5,-3.389968355985587,
30,-64.5,-34.5,-8.5,-3.6894580963501764,3968
30a,-64.5,-42.5,-10.5,-3.312082848431157,
30b,-56.5,-42.5,-14.5,-3.2729731943353744,
30c,-66.5,-44.5,-4.5,-3.073850406934756,
31,49.5,3.5,55.5,-3.624282644545022,3264
31a,39.5,-2.5,61.5,-3.0798310120874985,
31b,19.5,1.5,73.5,-2.9693129216485064,
31c,15.5,-2.5,57.5,-2.951641690675407,
32,7.5,11.5,23.5,-3.6207023291533638,416
33,-58.5,-2.5,-30.5,-3.602933687019286,11176
33a,-48.5,11.5,-32.5,-3.527779484554705,
33b,-68.5,-12.5,-16.5,-3.095048388321739,
33c,-30.5,-0.5,-34.5,-3.083467770055636,
34,-54.5,-56.5,27.5,-3.56295362814566,6024
34a,-36.5,-56.5,25.5,-3.390980366201253,
34b,-44.5,-46.5,21.5,-3.296309537904671,
34c,-36.5,-64.5,27.5,-3.182997604875001,
35,-50.5,1.5,53.5,-3.5620517095039794,4264
35a,-32.5,1.5,35.5,-2.7049863537331666,
35b,-32.5,-2.5,57.5,-2.667605829419783,
35c,-54.5,21.5,35.5,-2.646533674785778,
36,35.5,-62.5,-54.5,-3.471170809196527,1936
37,63.5,-44.5,-10.5,-3.4067658342792835,1640
37a,59.5,-54.5,-10.5,-2.8540592766216615,
37b,55.5,-48.5,-6.5,-2.7678627410736527,
37c,59.5,-56.5,-14.5,-2.4574437638197035,
38,5.5,-72.5,57.5,-3.362451738659995,2736
38a,-12.5,-74.5,59.5,-2.8022553933758747,
38b,-2.5,-64.5,55.5,-2.783553320250481,
38c,-2.5,-74.5,53.5,-2.7814145671663777,
39,5.5,-56.5,-58.5,-3.329622246449976,208
40,13.5,-4.5,31.5,-3.3147962514715505,488
40a,13.5,-14.5,31.5,-2.3920675176151804,
41,35.5,41.5,19.5,-3.2781242856505646,1080
41a,47.5,33.5,17.5,-2.6914669998002223,
42,-42.5,27.5,-14.5,-3.2691037610143927,496
43,29.5,59.5,-4.5,-3.2407590821502055,1488
43a,41.5,57.5,-10.5,-2.807233584023322,
43b,47.5,51.5,-10.5,-2.459261667073411,
43c,39.5,53.5,-12.5,-2.4545012554922043,
44,63.5,-20.5,-26.5,-3.224881190533348,288
45,-46.5,49.5,-4.5,-3.2118180569475703,3216
45a,-30.5,41.5,1.5,-2.77321345028056,
45b,-42.5,35.5,-2.5,-2.5904851896294665,
45c,-36.5,59.5,-2.5,-2.506128900446446,
46,9.5,9.5,-12.5,-3.1672842295051318,3872
46a,-6.5,45.5,-20.5,-2.9998569777137525,
46b,5.5,33.5,-18.5,-2.969757991550204,
46c,-2.5,11.5,-10.5,-2.921501393472923,
47,55.5,-48.5,23.5,-3.150822882234781,2128
47a,59.5,-60.5,25.5,-3.0820568192286295,
47b,53.5,-62.5,31.5,-2.7481370313131173,
47c,55.5,-66.5,17.5,-2.7051518296617423,
48,-0.5,-70.5,-10.5,-3.1468104683810996,1168
48a,-8.5,-62.5,-8.5,-1.9983657463293794,
49,55.5,-2.5,-30.5,-3.1218359859033953,1984
49a,65.5,-6.5,-18.5,-2.8613716007057337,
49b,59.5,3.5,-26.5,-2.70779097030887,
49c,59.5,3.5,-12.5,-2.5306930543760173,
50,47.5,-42.5,-36.5,-3.111826593307668,360
50a,45.5,-46.5,-28.5,-2.438303162458732,
51,-26.5,-28.5,-8.5,-3.0694645638564286,2736
51a,-28.5,-16.5,-16.5,-3.0202478681094447,
51b,-42.5,-26.5,-14.5,-2.713959215543529,
51c,-20.5,-28.5,-20.5,-2.6247782211393216,
52,7.5,-98.5,7.5,-3.0621825210116387,496
52a,19.5,-100.5,1.5,-2.1803048292725236,
53,45.5,-36.5,3.5,-3.000681563484985,448
54,-14.5,43.5,1.5,-2.978440827218825,256
55,9.5,-32.5,35.5,-2.8938088648278493,984
55a,11.5,-42.5,37.5,-2.285284042173069,
56,7.5,31.5,49.5,-2.8891485646551165,528
57,17.5,-16.5,-30.5,-2.856291558229026,88
58,-18.5,21.5,-16.5,-2.8448312082298437,576
58a,-10.5,31.5,-18.5,-2.536988722469199,
58b,-22.5,29.5,-20.5,-2.389657558491143,
58c,-18.5,17.5,-16.5,-2.3628225630239603,
59,-6.5,-56.5,67.5,-2.827673651385591,1632
59a,-6.5,-48.5,79.5,-2.632330603671136,
59b,-16.5,-40.5,81.5,-2.6153521384920126,
59c,-16.5,-54.5,77.5,-2.5703600519428726,
60,-32.5,-42.5,73.5,-2.82429847309841,832
60a,-26.5,-36.5,67.5,-2.5528564214921268,
60b,-26.5,-34.5,59.5,-2.0525380410009224,
61,17.5,43.5,47.5,-2.8078186638145772,320
62,47.5,27.5,33.5,-2.8070059089483896,1480
62a,41.5,25.5,41.5,-2.6215794103581866,
63,1.5,-42.5,77.5,-2.8001724518274727,456
63a,7.5,-48.5,75.5,-2.4127356374768225,
63b,1.5,-38.5,77.5,-2.4033089730702963,
63c,5.5,-48.5,79.5,-2.2872437819895923,
64,33.5,-0.5,-6.5,-2.7902767194140026,136
65,13.5,33.5,-0.5,-2.7714897396228144,560
65a,19.5,45.5,-6.5,-2.487766972699658,
66,-42.5,-0.5,19.5,-2.7590295234475337,128
67,-2.5,-58.5,-60.5,-2.7075141918386736,128
68,-66.5,-24.5,-14.5,-2.700818977663427,128
69,-16.5,-20.5,33.5,-2.698204869034854,200
70,-16.5,-58.5,-58.5,-2.69477133453819,176
71,29.5,-54.5,45.5,-2.686040080864206,816
71a,39.5,-62.5,47.5,-2.3619661232707676,
72,1.5,13.5,-20.5,-2.63778386069055,264
73,-30.5,-20.5,5.5,-2.6244340838410185,576
73a,-28.5,-24.5,13.5,-2.3540324823174847,
74,-60.5,7.5,-0.5,-2.620930559018547,104
75,31.5,19.5,27.5,-2.618202157946919,864
75a,47.5,15.5,33.5,-2.3648715647558327,
75b,57.5,17.5,31.5,-2.2771062838687497,
75c,39.5,13.5,29.5,-2.1975649289805856,
76,29.5,-72.5,-2.5,-2.6122542484154665,456
76a,35.5,-70.5,-8.5,-2.5836226975851977,
77,49.5,-60.5,-42.5,-2.610060880861424,184
78,-36.5,-32.5,-32.5,-2.607453352909263,88
79,21.5,27.5,47.5,-2.605983091464038,656
79a,25.5,35.5,49.5,-2.2968402206714753,
80,17.5,-84.5,5.5,-2.585390369177966,304
80a,21.5,-76.5,7.5,-2.105623310591445,
81,-32.5,67.5,-12.5,-2.584433511522733,264
82,9.5,71.5,-20.5,-2.5814350078375714,184
82a,3.5,65.5,-20.5,-2.380104466134884,
83,37.5,-34.5,41.5,-2.5757550062330585,200
84,55.5,-8.5,25.5,-2.5676371370058457,448
85,63.5,-50.5,33.5,-2.566755740191828,192
86,-4.5,-32.5,-52.5,-2.5665575929012765,208
87,-28.5,-50.5,49.5,-2.54630789820679,120
88,33.5,41.5,-6.5,-2.5376858541666536,144
89,-30.5,-32.5,77.5,-2.5303684977838006,80
90,-34.5,-76.5,-2.5,-2.5177337624942417,152
91,-54.5,31.5,15.5,-2.5117965947546197,152
92,-52.5,-58.5,47.5,-2.5065944187894575,432
92a,-50.5,-42.5,31.5,-2.313187441549003,
92b,-52.5,-48.5,41.5,-2.1553301275994174,
93,25.5,33.5,-24.5,-2.5038672550532763,104
93a,33.5,33.5,-26.5,-2.187908792739531,
94,-6.5,23.5,-16.5,-2.4864335367397667,112
95,-48.5,-12.5,11.5,-2.4862739893589385,416
96,-28.5,-86.5,31.5,-2.478671615024183,160
97,3.5,-34.5,-68.5,-2.4405961477018727,136
98,-6.5,-18.5,37.5,-2.4331285710342043,128
99,-8.5,17.5,23.5,-2.430189903335907,104
100,37.5,-80.5,31.5,-2.4200726928465857,192
101,9.5,-54.5,75.5,-2.4181128332324855,104
102,39.5,-58.5,29.5,-2.4105881401607627,144
103,29.5,25.5,-2.5,-2.3855961201881293,128
104,23.5,-78.5,-30.5,-2.381786047350817,128
105,-24.5,25.5,59.5,-2.370646621210802,248
105a,-22.5,21.5,51.5,-2.1217450224874934,
106,47.5,-42.5,57.5,-2.365233381599914,160
107,-30.5,-34.5,-38.5,-2.361696482570141,200
108,45.5,31.5,-10.5,-2.352029566469705,96
109,17.5,1.5,-0.5,-2.3512691104028405,200
110,-16.5,-32.5,77.5,-2.3465887374820764,248
111,-54.5,-18.5,23.5,-2.3178176947975464,168
112,-36.5,-16.5,37.5,-2.315181449163216,240
113,-38.5,-32.5,-24.5,-2.3110931944509923,88
114,-12.5,-6.5,59.5,-2.2833476869649663,224
115,21.5,-60.5,69.5,-2.2701819913780485,120
116,-38.5,-8.5,51.5,-2.263961821201024,112
117,5.5,-6.5,75.5,-2.2445196292167906,152
118,45.5,-76.5,15.5,-2.241231308980876,136
119,-14.5,-50.5,39.5,-2.220141270028748,232
120,69.5,-18.5,-6.5,-2.2033211218895175,112
120a,65.5,-28.5,-8.5,-2.1965052899023396,
121,-24.5,-72.5,51.5,-2.18055089609928,368
121a,-28.5,-78.5,47.5,-2.144052728735789,
122,49.5,3.5,25.5,-2.1739780141315004,96
123,-44.5,29.5,19.5,-2.1628545291365464,104
124,7.5,-86.5,-32.5,-2.1463793798532347,96
125,-14.5,-18.5,-14.5,-2.131388605830505,96
126,-8.5,-36.5,77.5,-2.0854213329075364,96
127,-16.5,3.5,67.5,-2.0776444146856012,96
